text,label
"Finnish financial group Aktia report operate profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the correspond period in 2008 .",2
"Finnish high technology provider Vaahto Group report net sales of EUR 41.8 mn in the account period September 2007 - February 2008 , an increase of 11.2 % from a year earlier .",2
Net sales of Finnish food industry company L+ñnnen Tehtaat 's continue operations increase by 13 % in 2008 to EUR 349.1 mn from EUR 309.6 mn in 2007 .,2
An individual promotion also generate slightly higher-than-expected revenues .,2
Biohit already service many current Genesis customers and the customer base be expect to expand as a result of this agreement .,2
"Both operate profit and turnover for the three-month period increase , respectively from EUR0 .9 m and EUR8 .3 m , as compare to the correspond period in 2005 .",2
Circulation revenue have increase by 5 % in Finland and 4 % in Sweden in 2008 .,2
Clothing chain Sepp+ñl+ñ 's net sales increase by 7.0 % to EUR 30.8 mn .,2
Construction volumes meanwhile grow at a rate of 10-15 percent annually .,2
Finnish and Swedish construction market be still experience an estimate 4 % annual growth in 2008 .,2
"However , Biohit estimate its total net sales will continue to grow in 2009 , and that favourable trend in net sales will lead to a profit in 2009 .",2
"In 2009 , Fiskars ' cash flow from operate activities amount to EUR121m , up from EUR97m in the previous year .",2
"In Lithuania , operate profit rise to EUR 190,000 from EUR 70,000 in the correspond period in 2005 .",2
"In the fourth quarter of 2008 , net sales increase by 2 % to EUR 1,050.7 mn from EUR 1,027.0 mn in the fourth quarter of 2007 .",2
"International sales rise by 59.8 % to EUR 1,244.4 mn .",2
Kalmar Espana generate net sales of some 11.3 mln euro $ 14.8 mln in 2005 .,1
Net sales grow in the period to x20ac 402 million $ 585US million from x20ac 401 million in 2006 .,2
Net sales increase to EUR655m in April to June 2010 from EUR438m a year earlier .,2
"Net sales rise by 25.5 % year-on-year to EUR59 .6 m , as the number of chargers deliver go up by 41 % to 65.9 million piece .",2
"Net sales total EUR 93.6 mn , up from EUR 93.2 mn in the correspond period in 2005 .",2
"Nokia also note the average sell price of handsets decline during the period , though its mobile phone profit margin rise to more than 22 percent from 13 percent in the year-ago quarter .",2
Operating profit increase by 145.1 % to EUR 8.3 mn from EUR 3.4 mn .,2
Operating profit margin increase from 11.2 % to 11.7 % .,2
Operating profit rise to EUR 3.11 mn from EUR 1.22 mn in the correspond period in 2009 .,2
Operating profit rise to EUR 5mn from EUR 2.8 mn in the fourth quarter of 2008 .,2
"Operating profit be EUR 24.5 mn , up from EUR 23.0 mn .",2
"Ramirent 's net sales in the second quarterended June 30 be EURO 128.7 million about U.S. $ 163 million , a 3.3-percent increase compare with EURO 124.6 million for thesecond quarter last year .",2
"Revenue grow by 2 percent to x20ac 580 million $ 743 million , from x20ac 569 million .",2
Ruukki announce that it have sign an agreement with Aker Solutions of Norway to supply 24 suction anchor in September 2010 from its Kalajoki unit in Finland .,2
"Ruukki 's delivery volumes and sell price show favourable development and the company 's comparable net sales grow by 50 % year-on-year to EUR647m , CEO Sakari Tamminen say .",2
Sanoma Magazines ' net sales be estimate to grow in 2006 .,2
The bank forecast Finland 's GDP will grow by 2 % in 2010 and in 2011 .,2
"The company 's consolidate operate profit amount to EUR 15.86 mn , up from EUR 4.14 mn year-on-year .",2
The Department Store Division report an increase in sales of 4 per cent .,2
The fair value of the company 's investment properties grow to EUR 2.803 billion at the end of March 2009 from EUR 2.691 million a year ago .,2
"The last quarter be the best quarter of 2009 in net sales , and the operate margin rise to 12.2 % .",2
"The major breweries increase their domestic beer sales by 4.5 per cent last year , to 256.88 million litres from 245.92 million litres in 2004 .",2
"The transaction double Tecnomens workforse , and add a fourth to their net sales .",2
- Operating profit rise by 26.9 % to EUR 105.8 ( 83.4 ) million .,2
"`` After this purchase , Cramo will become the second largest rental service provider in the Latvian market .",2
`` The purchase of the operations be part of YIT 's strategy to expand its offer of build system service geographically . ``,2
21 October 2010 - Finnish fish tackle company Rapala VMC Corp ( HEL : RAP1V ) say today its net profit rise to EUR18 .9 m for the first nine months of 2010 from EUR15 .1 m for the same period a year earlier .,2
"According to Finnish Metso Minerals , the value of the company 's order have go up to EUR 1.9 bn in 12 months .",2
Finnish Aldata Solution have sign a contract of supply its G.O.L.D . system to two French retail chain .,2
Finnish Bank of +àland report its operate profit rise to EUR 21.3 mn in the second quarter of 2009 from EUR 6.1 mn in the correspond period in 2008 .,2
Finnish financial group Aktia 's operate profit for 2009 increase to EUR 47.0 mn from EUR 6.6 mn in 2008 .,2
Finnish forest machinery manufacturer Ponsse 's net sales grow to EUR 51.3 mn in the first quarter of 2010 from EUR 37.5 mn in the correspond period in 2009 .,2
Finnish KCI Konecranes have raise its net sales growth estimate for 2006 from over 25 % to over 35 % .,2
Finnish Okmetic that manufacture and process silicon wafers for the semiconductor and sensor industries and Norwegian solar wafer company NorSun have sign a contract under which Okmetic will supply NorSun mono silicon crystals for use in solar cell manufacture .,2
Finnish pharmaceuticals company Orion 's net sales rise to EUR 190mn in the first quarter of 2009 from EUR 180mn in the first quarter of 2008 .,2
"Finnish Ponsse have sign an agreement with Babcock Africa for the distribution and support of Ponsse forest machine , harvester head , and information systems in South Africa .",2
South African Sappi will become the largest foreign forest industry company operate in Finland as a result of the acquisition Finnish M-real Corporation 's Graphic Papers Business unit .,2
According to Deputy MD Pekka Silvennoinen the aim be double turnover over the next three years .,2
"According to HKScan Finland , the plan be to increase J+ñrvi-Suomen Portti 's net sales to EUR 80mn to EUR 100mn .",2
"Advertising and circulation revenues grow by 3.4 % and by 0.4 % , respectively .",2
"After the takeover , Cramo will become the second largest rental service provider in the Latvian market .",2
"Again , the most significant sales increase of 18.6 % be in Russia .",2
Alma Media expect its net sales to increase as forecast previously .,2
Also Lemmink+ñinen 's profit for account period go up to EUR 3.1 mn from EUR -24.5 mn a year ago .,2
"At the end of March 2007 , the group 's order book be at EUR 39.6 mn , up 42 % from the correspond period in 2006 .",2
"At the same time profit of the company increase by 10 % in H1 and reach Ls 79,000 .",2
Aviation Systems Maintenance be base in Kansas and generate net sales of USD 2.6 million for 2008 .,1
"Besides we have increase the share of meat in various sausages and be offer a number of new taste in the grill products and shish kebabs segment , `` Paavel say .",2
"Both operate profit and net sales for the 12-month period increase , respectively from EUR10 .5 m and EUR28 .8 m , as compare to the financial year 2004 .",2
"Both operate profit and net sales for the 12-month period increase , respectively from EUR20 .8 m and EUR177 .7 m , as compare to the financial year 2004 .",2
"Both operate profit and net sales for the 12-month period increase , respectively from EUR21 .5 m and EUR196 .1 m , as compare to 2005 .",2
"Both operate profit and net sales for the 12-month period increase , respectively from EUR4 .7 m and EUR26 .7 m , as compare to 2004 .",2
"Both operate profit and net sales for the nine-month period increase , respectively by 26.6 % and 3.4 % , as compare to the correspond period in 2006 .",2
"Both operate profit and net sales for the six-month period increase , respectively , from EUR13 .8 m and EUR143 .6 m , as compare to the correspond period in 2007 .",2
"Both operate profit and net sales for the six-month period increase , respectively from EUR0 .4 m and EUR3 .2 m , as compare to the correspond period in 2005 .",2
"Both operate profit and net sales for the six-month period increase , respectively from EUR18 .1 m and EUR127 .6 m , as compare to the correspond period in 2006 .",2
"Both operate profit and net sales for the six-month period increase , respectively from EUR7 .5 m and EUR655 .5 m , as compare to the correspond period in 2005 .",2
"Both operate profit and net sales for the three-month period increase , respectively from EUR15 .1 m and EUR131 .5 m , as compare to the correspond period in 2005 .",2
"Both operate profit and net sales for the three-month period increase , respectively from EUR16 .0 m and EUR139m , as compare to the correspond quarter in 2006 .",2
"Both operate profit and sales for the three-month period increase , respectively from EUR0 .3 m and EUR13 .1 m , as compare to the correspond period in 2005 .",2
"Both operate profit and turnover for the nine-month period increase , respectively from EUR2 .4 m and EUR43 .8 m , as compare to the correspond period a year ago .",2
"Both operate profit and turnover for the six-month period increase , respectively , from EUR17 .6 m and EUR1149 .9 m , as compare to the correspond period in 2007 .",2
"Both operate profit and turnover for the six-month period increase , respectively from EUR0 .1 m and EUR29 .0 m , as compare to the correspond period a year ago .",2
Cargo volume grow by 7 % .,2
Cargo volume increase by approximately 5 % .,2
"comparable operate profit total EUR 854mn , up from EUR 730mn in 2004 .",2
"Digia say its consolidate net sales for January-June 2010 be EUR67 .8 m , up 9.7 % on the same period in 2009 ( EUR61 .9 m ) .",2
Diluted earn per share ( EPS ) rise to EUR 0.29 from EUR 0.05 .,2
Diluted earn per share ( EPS ) rise to EUR 0.52 versus EUR 0.09 .,2
Diluted earn per share ( EPS ) rise to EUR 1.05 from EUR 0.64 .,2
Diluted earn per share ( EPS ) rise to EUR 3.68 from EUR 0.50 .,2
Diluted EPS rise to EUR3 .68 from EUR0 .50 .,2
EBIT margin be up from 1.4 % to 5.1 % .,2
"EPS for the quarter be EUR0 .00 , as compare with EUR0 .01 in the third quarter of 2008 , represent a Group net sales for the third quarter be EUR15 .3 m , up by 2.8 % as compare with EUR14 .9 m in the third quarter of 2008 .",2
"EPS from continue operations come in at 0.30 eur , up from 0.17 .",2
"Equity ratio be 60.9 % compare to 54.2 % In the third quarter of 2007 , net sales of the Frozen Foods Business total EUR 11.0 , up by about 5 % from the third quarter of 2006 .",2
"EUR928 ,000 in Q1 2010 6 May 2010 - Finnish textile and clothe design company Marimekko Oyj ( HEL : MMO1V ) say today its net profit rise to EUR928 ,000 in the first quarter of 2010 from EUR13 ,000 in the correspond period a year earlier .",2
"Finland-based Elcoteq SE , a privately hold provider of electronics manufacture service to communications company , say Thursday it sign a long-term manufacture supply deal with communications equipment company Andrew Corp. .",2
Finnish cutlery and hand tool maker Fiskars Oyj Abp ( HEL : FISAS ) say today its net profit rise to EUR 24.1 million ( USD 33.6 m ) in the third quarter of 2010 from EUR 17.9 million a year earlier .,2
Finnish department store chain Stockmann Oyj Abp net profit rise to 39.8 mln euro ( $ 56.8 mln ) for the first nine months of 2007 from 37.4 mln euro ( $ 53.4 mln ) for the same period of 2006 .,2
"Finnish lift equipment maker Konecranes Oyj say on July 30 , 2008 that its net profit rise to 71.2 mln euro ( $ 111.1 mln ) for the first half of 2008 from 57.1 mln euro ( $ 89.1 mln ) for the same period of 2007 .",2
Finnish message solutions developer Tecnomen Corporation ( OMX Helsinki : TEM1V ) say on Thursday ( 11 December ) that it have receive an expansion order for its Convergent Charging solution in Latin America .,2
Finnish metal industry solutions supplier Outotec Oyj net profit rise to 50.4 mln euro ( $ 72.5 mln ) for the first nine months of 2007 from 20.1 mln euro ( $ 28.9 mln ) for the same period of 2006 .,2
Finnish metal products company Componenta Oyj net profit rise to 26.1 mln euro ( $ 35.9 mln ) for the first quarter of 2007 from 5.3 mln euro ( $ 7.3 mln ) for the same period of 2006 .,2
Finnish office supply and computer accessories dealer Beltton-Group Plc say its net profit rise to 1.3 mln euro ( $ 1.7 mln ) in 2006 from 1.13 mln euro ( $ 1.5 mln ) in 2005 .,2
"Finnish security and privacy software solutions developer Stonesoft Oyj say on January 7 , 2008 that the preliminary sales of its StoneGate products grow by 59 pct year-on-year to 3.6 mln euro ( $ 5.3 mln ) for the fourth quarter of 2007 .",2
"Finnish silicon wafer technology company Okmetic Oyj ( OMX Helsinki : OKM1V ) report on Thursday ( 7 August ) an operate profit of EUR5 .3 m for the period January-June 2008 , up from EUR3 .3 m in the correspond period in 2007 .",2
Finnish software developer Done Solutions Oyj say its net profit increase to 3.5 mln euro ( $ 4.6 mln ) in 2006 from 2.3 mln euro ( $ 3.0 mln ) in 2005 .,2
First quarter underlie operate profit rise to 41 mln eur from 33 mln a year earlier .,2
"Following the acquisition , Relacom will strengthen its presence in Finland , serve operators and office market with mobile and fix network construction , installation and maintenance service .",2
"For the first nine months of 2010 , the company 's net profit rise to EUR41m from EUR30m for the correspond period of 2009 .",2
"HELSINKI ( AFX ) - Retail and wholesale group Kesko report net sales of 659.4 mln eur for February , an increase of 10.8 pct year-on-year .",2
"However , net sales in 2010 be see to have grow to EUR598 .3 m from EUR582 .3 m in 2009 .",2
"However , sales return to growth in April-June 2010 , CEO Pekka Eloholma say .",2
"Ragutis , which be control by the Finnish brewery , report a 5.4-per-cent rise in beer sales to 10.44 million litres and hold an 11.09-per-cent market share .",2
"Svyturys-Utenos Alus , which be control by the Nordic group Baltic Beverages Holding ( BBH ) , post a 4.7-per-cent growth in beer sales for January-May to 46.22 million litres .",2
"In 2007 , Contempus generate revenue of NOK 69.3 ( approx .",1
"In addition , Kone sign a two-year maintenance contract for the escalators .",2
"In December alone , the members of the Lithuanian Brewers ' Association sell a total of 20.3 million liters of beer , an increase of 1.9 percent from the sales of 19.92 million liters in December 2004 .",2
"In January-September 2009 , the Group 's net interest income increase to EUR 112.4 mn from EUR 74.3 mn in January-September 2008 .",2
"In Q1 of 2010 , Bank of +àland 's net interest income increase from EUR 9.1 mn to EUR 9.7 mn .",2
"In Sweden , operate profit for the period under review total EUR 3.4 mn , up 30.8 % from the correspond period in 2005 .",2
"In the fourth quarter of 2009 , Orion 's net profit go up by 33.8 % year-on-year to EUR33m .",2
"In the second quarter of 2010 , the group 's net profit rise to EUR 3.1 million from EUR 2.5 million in April-June 2009 .",2
"In the second quarter of 2010 , the group 's net profit rise to EUR3 .1 m from EUR2 .5 m in April-June 2009 .",2
"In the third quarter , net sales increase by 12 % year-on-year to EUR 159.5 million , or by 6 % at comparable currency rat growth .",2
"In the third quarter , net sales increase by 12 % year-on-year to EUR159 .5 m , or by 6 % at comparable currency rat growth .",2
Incap estimate it will generate a revenue of 10 mln euro ( $ 13.2 mln ) from its Indian operations for 2007 .,1
Its market share widen to 48.51 percent from 48.31 percent a year earlier .,2
Its total annual revenue come up to about 160 mln zloty ( $ 56.9 mln-42 .3 mln euro ) .,1
"Kesko Agro Eesti , the retailer and wholesaler of grain , agricultural and warehouse machinery and accessories , have net sales of 81 million euros in 2007 , an increase by one-tenth over the precede year .",2
"Kesko 's car import and retail business , VV-Auto , saw sales grow by 17.1 pct .",2
Kone 's net sales rise by some 14 % year-on-year in the first nine months of 2008 .,2
"( ADP News ) - Feb 11 , 2009 - Finnish management software solutions provider Ixonos Oyj ( HEL : XNS1V ) say today its net profit rise to EUR 3.5 million ( USD 4.5 m ) for 2008 from EUR 3.1 million for 2007 .",2
"( ADP News ) - Feb 12 , 2009 - Finnish IT solutions provider Affecto Oyj ( HEL : AFE1V ) say today its net profit rise to EUR 8.5 million ( USD 11m ) in 2008 from EUR 7 million in 2007 .",2
"( ADP News ) - Feb 6 , 2009 - Finnish fish tackle company Rapala VMC Corp ( HEL : RAP1V ) say today its net profit rise to EUR 19.2 million ( USD 24.6 m ) for 2008 from EUR 17.5 million for 2007 .",2
"( ADP News ) - Nov 5 , 2008 - Finnish electronic measurement products and solutions maker Vaisala Oyj ( OMX : VAIAS ) say today that its net profit rise to EUR 18 million ( USD 23.1 m ) for the first nine months of 2008 from EUR 1",2
"( ADP News ) - Oct 29 , 2008 - Finnish lift equipment maker Konecranes Oyj ( OMX : KCR1V ) say today that its net profit rise to EUR 116.6 million ( USD 149.1 m ) in the first nine months of 2008 from EUR 73.6 million for the s",2
"Metso expect its net sales to increase by about 10 % in 2008 , at comparable exchange rat .",2
"Neste Oil Corp. have sign long-term procurement contract with Honkajoki Oy and Findest Protein Oy , both own by Finnish food manufacturers , for the supply of animal fat for biodiesel production at Neste 's 200,000 b-cd Porvoo , Finland , refinery .",2
Net interest income increase by 4.5 % to EUR 31.4 mn from EUR 30.0 mn in 2004 .,2
"Net interest income be EUR 152.2 mn , up from EUR 101.0 mn in 2008 .",2
"Net interest income be EUR 39.3 mn , up from EUR 32.7 mn .",2
Net sales of the Vegetable Oil Business rise to EUR 10.6 mn from EUR 10.1 mn .,2
"Nokia Multimedia 's net sales total EUR 5.7 bn , up 45 % from the correspond period in 2005 .",2
Operating income rise to EUR 696.4 mn from EUR 600.3 mn in 2009 .,2
"Operating profit of Kauppalehti group rise to EUR 1.5 mn from EUR 1.3 mn , and that of Marketplaces to EUR 1.3 mn from EUR 1.0 mn in the third quarter of 2006 .",2
Operating profit rise from EUR 1.94 mn to EUR 2.45 mn .,2
Operating profit rise to 22.1 mln eur from 19.9 mln .,2
Operating profit rise to EUR 1.6 mn from EUR 1.1 mn in the correspond period in 2006 .,2
Operating profit rise to EUR 103.4 mn from EUR 23.2 in the correspond period in 2006 .,2
Operating profit rise to EUR 13.5 mn from EUR 9.7 mn in the correspond period in 2006 .,2
Operating profit rise to EUR 26.7 mn from EUR 14.9 mn in the correspond period in 2006 .,2
Operating profit rise to EUR 27.8 mn from EUR 17.5 mn in 2008 .,2
Operating profit rise to EUR 3.2 mn from EUR 1.0 mn in the correspond period in 2008 .,2
Operating profit rise to EUR 4.7 mn from EUR 3.6 mn .,2
Operating profit rise to EUR 4.7 mn from EUR 4.6 mn .,2
Operating profit rise to EUR 9.2 mn from EUR 6.8 mn in the correspond period in 2007 .,2
Operating profit rise to EUR2 .4 m from EUR1 .6 m year earlier .,2
"Operating profit surge to EUR21m from EUR106 ,000 .",2
